,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
91,92,2019,Indonesia,Southeastern Asia,5.192,0.931,1.203,0.66,0.491,0.028,0.498
92,93,2019,China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.1,0.058
93,94,2019,Vietnam,Southeastern Asia,5.175,0.741,1.346,0.851,0.543,0.073,0.147
94,95,2019,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.167,0.37
95,96,2019,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.037,0.187
96,97,2019,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.004,0.081
97,98,2019,Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.04,0.245
98,99,2019,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.09,0.154
99,100,2019,Nepal,Southern Asia,4.913,0.446,1.226,0.677,0.439,0.089,0.285
100,101,2019,Jordan,Middle East and Northern Africa,4.906,0.837,1.225,0.815,0.383,0.13,0.11
101,102,2019,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.082,0.175
102,103,2019,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.093,0.105
103,104,2019,Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.055,0.043
104,105,2019,Laos,Southeastern Asia,4.796,0.764,1.03,0.551,0.547,0.164,0.266
105,106,2019,South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.055,0.13
106,107,2019,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.027,0.178
107,108,2019,Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.047,0.064
108,109,2019,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.062,0.232
109,110,2019,Palestinian Territories,Middle East and Northern Africa,4.696,0.657,1.247,0.672,0.225,0.066,0.103
110,111,2019,Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.072,0.153
111,112,2019,Somalia,Sub-Saharan Africa,4.668,0.0,0.698,0.268,0.559,0.27,0.243
112,113,2019,Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.056,0.07
113,114,2019,Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.102,0.188
114,115,2019,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.113,0.177
115,116,2019,Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.064,0.095
116,117,2019,Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.125,0.27
117,118,2019,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.086,0.207
118,119,2019,Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.164,0.043
119,120,2019,Gambia,Sub-Saharan Africa,4.516,0.308,0.939,0.428,0.382,0.167,0.269
120,121,2019,Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.053,0.372
121,122,2019,Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.088,0.106
122,123,2019,Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.138,0.197
123,124,2019,Tunisia,Middle East and Northern Africa,4.461,0.921,1.0,0.815,0.167,0.055,0.059
124,125,2019,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.143,0.166
125,126,2019,Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.089,0.148
126,127,2019,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.053,0.212
127,128,2019,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.052,0.153
128,129,2019,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.045,0.252
129,130,2019,Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.047,0.244
130,131,2019,Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.172,0.566
131,132,2019,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.078,0.198
132,133,2019,Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.01,0.187
133,134,2019,Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.1,0.209
134,135,2019,Swaziland,Sub-Saharan Africa,4.212,0.811,1.149,0.0,0.313,0.135,0.074
135,136,2019,Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.06,0.252
136,137,2019,Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.067,0.076
137,138,2019,Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.087,0.247
138,139,2019,Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.085,0.177
139,140,2019,India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.085,0.2
140,141,2019,Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.033,0.233
141,142,2019,Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.078,0.275
142,143,2019,Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.041,0.169
143,144,2019,Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.093,0.107
144,145,2019,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.18,0.176
145,146,2019,Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.089,0.151
146,147,2019,Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.11,0.419
147,148,2019,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.1,0.025
148,149,2019,Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.141,0.331
149,150,2019,Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.089,0.218
150,151,2019,Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.077,0.108
151,152,2019,Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.411,0.217
152,153,2019,Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.147,0.276
153,154,2019,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0.0,0.025,0.158
154,155,2019,Central African Republic,Sub-Saharan Africa,3.083,0.026,0.0,0.105,0.225,0.035,0.235
155,156,2019,Sudan,Sub-Saharan Africa,2.853,0.306,0.575,0.295,0.01,0.091,0.202
