,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
64,65,2022,Vietnam,Southeastern Asia,5.763,1.349,1.212,0.381,0.741,0.122,0.134
65,66,2022,Paraguay,Latin America and Caribbean,5.738,1.428,1.427,0.392,0.678,0.062,0.148
66,67,2022,Montenegro,Central and Eastern Europe,5.722,1.537,1.385,0.424,0.563,0.061,0.17
67,68,2022,Jamaica,Latin America and Caribbean,5.703,1.305,1.329,0.411,0.587,0.039,0.079
68,69,2022,Bolivia,Latin America and Caribbean,5.684,1.24,1.187,0.329,0.648,0.06,0.103
69,70,2022,Russia,Central and Eastern Europe,5.661,1.68,1.383,0.366,0.449,0.091,0.12
70,71,2022,Bosnia and Herzegovina,Central and Eastern Europe,5.633,1.467,1.361,0.429,0.485,0.008,0.247
71,72,2022,Colombia,Latin America and Caribbean,5.63,1.455,1.213,0.486,0.562,0.068,0.08
72,73,2022,Dominican Republic,Latin America and Caribbean,5.569,1.536,1.227,0.351,0.623,0.195,0.083
73,74,2022,Ecuador,Latin America and Caribbean,5.559,1.343,1.173,0.476,0.56,0.069,0.079
74,75,2022,Peru,Latin America and Caribbean,5.526,1.39,1.153,0.499,0.549,0.027,0.073
75,76,2022,Philippines,Southeastern Asia,5.523,1.238,1.108,0.286,0.714,0.141,0.104
76,77,2022,Bulgaria,Central and Eastern Europe,5.466,1.635,1.457,0.408,0.557,0.013,0.106
77,78,2022,Nepal,Southern Asia,5.36,0.979,1.027,0.281,0.567,0.104,0.215
78,79,2022,Armenia,Central and Eastern Europe,5.342,1.466,1.134,0.443,0.551,0.16,0.053
79,80,2022,Tajikistan,Central and Eastern Europe,5.33,0.972,1.248,0.291,0.599,0.292,0.104
80,81,2022,Algeria,Middle East and Northern Africa,5.329,1.353,1.298,0.409,0.252,0.152,0.073
82,83,2022,Albania,Central and Eastern Europe,5.277,1.449,0.951,0.48,0.549,0.037,0.133
83,84,2022,Indonesia,Southeastern Asia,5.277,1.384,1.169,0.314,0.663,0.038,0.422
84,85,2022,South Africa,Sub-Saharan Africa,5.275,1.417,1.428,0.149,0.464,0.019,0.09
85,86,2022,Congo (Brazzaville),Sub-Saharan Africa,5.267,0.921,0.665,0.145,0.464,0.136,0.134
87,88,2022,Venezuela,Latin America and Caribbean,5.211,0.0,1.257,0.341,0.369,0.084,0.205
88,89,2022,Laos,Southeastern Asia,5.111,1.232,0.853,0.257,0.715,0.162,0.185
89,90,2022,Georgia,Central and Eastern Europe,5.109,1.477,0.947,0.366,0.539,0.201,0.0
90,91,2022,Guinea,Sub-Saharan Africa,5.072,0.844,0.776,0.072,0.369,0.102,0.204
91,92,2022,Ukraine,Central and Eastern Europe,5.071,1.358,1.354,0.355,0.551,0.016,0.265
92,93,2022,Ivory Coast,Sub-Saharan Africa,5.053,1.094,0.584,0.12,0.467,0.131,0.138
93,94,2022,Gabon,Sub-Saharan Africa,5.035,1.438,1.021,0.183,0.346,0.102,0.036
94,95,2022,Nigeria,Sub-Saharan Africa,4.981,1.065,1.007,0.092,0.448,0.013,0.176
95,96,2022,Cameroon,Sub-Saharan Africa,4.973,0.965,0.871,0.118,0.405,0.059,0.144
96,97,2022,Mozambique,Sub-Saharan Africa,4.954,0.57,0.885,0.0,0.625,0.192,0.161
97,98,2022,Iraq,Middle East and Northern Africa,4.941,1.281,0.953,0.324,0.351,0.038,0.134
99,100,2022,Morocco,Middle East and Northern Africa,4.903,1.236,0.535,0.337,0.54,0.085,0.013
100,101,2022,Iran,Middle East and Northern Africa,4.876,1.465,1.102,0.411,0.281,0.13,0.229
101,102,2022,Senegal,Sub-Saharan Africa,4.855,0.943,0.727,0.231,0.519,0.06,0.142
102,103,2022,Mauritania,Sub-Saharan Africa,4.724,1.099,0.764,0.244,0.32,0.195,0.13
103,104,2022,Burkina Faso,Sub-Saharan Africa,4.638,0.768,0.814,0.107,0.419,0.113,0.188
104,105,2022,Namibia,Sub-Saharan Africa,4.631,1.289,1.126,0.145,0.383,0.071,0.069
106,107,2022,Ghana,Sub-Saharan Africa,4.605,1.101,0.756,0.197,0.526,0.035,0.211
107,108,2022,Pakistan,Southern Asia,4.555,1.081,0.657,0.158,0.511,0.102,0.141
108,109,2022,Niger,Sub-Saharan Africa,4.501,0.561,0.628,0.137,0.54,0.14,0.154
109,110,2022,Tunisia,Middle East and Northern Africa,4.497,1.333,0.981,0.422,0.259,0.016,0.022
110,111,2022,Kenya,Sub-Saharan Africa,4.487,1.051,0.881,0.19,0.418,0.055,0.291
111,112,2022,Sri Lanka,Southern Asia,4.442,1.422,1.224,0.426,0.539,0.086,0.12
112,113,2022,Uganda,Sub-Saharan Africa,4.432,0.785,1.144,0.201,0.425,0.051,0.197
113,114,2022,Chad,Sub-Saharan Africa,4.397,0.622,0.962,0.043,0.393,0.088,0.255
114,115,2022,Cambodia,Southeastern Asia,4.393,1.025,1.024,0.283,0.768,0.051,0.176
115,116,2022,Benin,Sub-Saharan Africa,4.374,0.924,0.242,0.124,0.481,0.253,0.114
116,117,2022,Myanmar,Southeastern Asia,4.372,1.032,1.125,0.269,0.46,0.194,0.4
117,118,2022,Bangladesh,Southern Asia,4.282,1.133,0.513,0.355,0.617,0.165,0.139
118,119,2022,Gambia,Sub-Saharan Africa,4.279,0.761,0.614,0.174,0.286,0.033,0.332
119,120,2022,Mali,Sub-Saharan Africa,4.198,0.763,0.637,0.106,0.441,0.059,0.121
120,121,2022,Egypt,Middle East and Northern Africa,4.17,1.377,0.972,0.326,0.467,0.25,0.038
121,122,2022,Togo,Sub-Saharan Africa,4.137,0.77,0.642,0.161,0.367,0.136,0.149
122,123,2022,Jordan,Middle East and Northern Africa,4.12,1.292,0.98,0.438,0.517,0.173,0.056
123,124,2022,Ethiopia,Sub-Saharan Africa,4.091,0.793,1.114,0.25,0.451,0.101,0.283
124,125,2022,Liberia,Sub-Saharan Africa,4.042,0.628,0.644,0.141,0.471,0.071,0.219
125,126,2022,India,Southern Asia,4.036,1.159,0.674,0.252,0.685,0.111,0.175
126,127,2022,Madagascar,Sub-Saharan Africa,4.019,0.632,0.779,0.178,0.187,0.134,0.177
127,128,2022,Zambia,Sub-Saharan Africa,3.982,0.914,0.89,0.095,0.545,0.08,0.189
128,129,2022,Tanzania,Sub-Saharan Africa,3.694,0.836,0.787,0.214,0.607,0.269,0.234
129,130,2022,Comoros,Sub-Saharan Africa,3.545,0.914,0.327,0.215,0.117,0.145,0.129
130,131,2022,Malawi,Sub-Saharan Africa,3.495,0.637,0.479,0.189,0.49,0.129,0.139
131,132,2022,Botswana,Sub-Saharan Africa,3.435,1.471,1.041,0.087,0.48,0.071,0.021
132,133,2022,Congo (Kinshasa),Sub-Saharan Africa,3.207,0.531,0.784,0.105,0.375,0.068,0.183
133,134,2022,Zimbabwe,Sub-Saharan Africa,3.204,0.758,0.881,0.069,0.363,0.117,0.112
134,135,2022,Sierra Leone,Sub-Saharan Africa,3.138,0.67,0.54,0.092,0.371,0.051,0.193
135,136,2022,Lebanon,Middle East and Northern Africa,2.392,1.417,0.476,0.398,0.123,0.027,0.061
136,137,2022,Afghanistan,Southern Asia,1.859,0.645,0.0,0.087,0.0,0.059,0.093
